Code,FPL_Name,Web_Name,Understat_ID,Understat_Name,FPL_ID_2024-25,Team_2024-25,FPL_ID_2023-24,Team_2023-24
231747,Jean-Philippe Mateta,Mateta,5735,Jean-Philippe Mateta,207,Crystal Palace,232,Crystal Palace
169593,Remi Matthews,Matthews,9834,Remi Matthews,209,Crystal Palace,233,Crystal Palace
244723,Tyrick Mitchell,Mitchell,8214,Tyrick Mitchell,210,Crystal Palace,234,Crystal Palace
443661,Michael Olise,Olise,9948,Michael Olise,,,,
450541,Luke Plange,Plange,,,,,,
427623,Chris Richards,C.Richards,8430,Chris Richards,194,Crystal Palace,238,Crystal Palace
173954,Jairo Riedewald,Riedewald,6027,Jairo Riedewald,,,,
86417,Jeffrey Schlupp,Schlupp,757,Jeffrey Schlupp,214,Crystal Palace,240,Crystal Palace
49413,James Tomkins,Tomkins,530,James Tomkins,,,,
55494,Joel Ward,Ward,510,Joel Ward,215,Crystal Palace,242,Crystal Palace
487818,Joe Whitworth,Whitworth,11005,Joseph Whitworth,,,,
120250,André Tavares Gomes,André Gomes,2383,André Gomes,,,,
480455,Jarrad Branthwaite,Branthwaite,8476,Jarrad Branthwaite,219,Everton,245,Everton
177815,Dominic Calvert-Lewin,Calvert-Lewin,5555,Dominic Calvert-Lewin,220,Everton,246,Everton
59949,Séamus Coleman,Coleman,585,Seamus Coleman,221,Everton,247,Everton
108823,Dele Alli,Dele,645,Dele Alli,,,,
121599,Abdoulaye Doucouré,A.Doucoure,1726,Abdoulaye Doucouré,217,Everton,249,Everton
232928,James Garner,Garner,7438,James Garner,223,Everton,250,Everton
160987,Jean-Philippe Gbamin,Gbamin,4764,Jean-Philippe Gbamin,,,,
198826,Ben Godfrey,Godfrey,7689,Ben Godfrey,,,,
172632,Demarai Gray,Gray,762,Demarai Gray,,,,
80801,Idrissa Gueye,Gana,668,Idrissa Gueye,222,Everton,254,Everton
194164,Mason Holgate,Holgate,985,Mason Holgate,225,Everton,255,Sheffield Utd
153133,Alex Iwobi,Iwobi,500,Alex Iwobi,247,Fulham,256,Fulham
106611,Michael Keane,Keane,1653,Michael Keane,228,Everton,257,Everton
115382,Neal Maupay,Maupay,3621,Neal Maupay,229,Everton,258,Brentford
433154,Dwight McNeil,McNeil,6756,Dwight McNeil,230,Everton,259,Everton
224967,Vitalii Mykolenko,Mykolenko,10291,Vitalii Mykolenko,231,Everton,260,Everton
449871,Amadou Onana,Onana,9667,Amadou Onana,233,Aston Villa,261,Everton
243571,Nathan Patterson,Patterson,10292,Nathan Patterson,234,Everton,262,Everton
111234,Jordan Pickford,Pickford,741,Jordan Pickford,235,Everton,263,Everton
218997,Ellis Simms,Simms,8582,Ellis Simms,,,,
